Days,Tray,Position,Species,Genotype,UniqueCode,Predation,Mortality,Cumulative,Coral
0,B086,A2,MCAV,MCAV05,1,N,0,N,Montastraea cavernosa
1,B086,A2,MCAV,MCAV05,1,N,0,N,Montastraea cavernosa
2,B086,A2,MCAV,MCAV05,1,N,0,N,Montastraea cavernosa
7,B086,A2,MCAV,MCAV05,1,N,0,N,Montastraea cavernosa
14,B086,A2,MCAV,MCAV05,1,Y,3,Y,Montastraea cavernosa
21,B086,A2,MCAV,MCAV05,1,N,0,Y,Montastraea cavernosa
28,B086,A2,MCAV,MCAV05,1,N,0,Y,Montastraea cavernosa
35,B086,A2,MCAV,MCAV05,1,N,0,Y,Montastraea cavernosa
42,B086,A2,MCAV,MCAV05,1,NA,NA,Y,Montastraea cavernosa
0,B086,A4,PCLI,PCLI04,2,N,0,N,Pseudodiploria clivosa
1,B086,A4,PCLI,PCLI04,2,N,0,N,Pseudodiploria clivosa
2,B086,A4,PCLI,PCLI04,2,N,0,N,Pseudodiploria clivosa
7,B086,A4,PCLI,PCLI04,2,N,0,N,Pseudodiploria clivosa
14,B086,A4,PCLI,PCLI04,2,Y,30,Y,Pseudodiploria clivosa
21,B086,A4,PCLI,PCLI04,2,NA,NA,Y,Pseudodiploria clivosa
28,B086,A4,PCLI,PCLI04,2,NA,NA,Y,Pseudodiploria clivosa
35,B086,A4,PCLI,PCLI04,2,NA,NA,Y,Pseudodiploria clivosa
42,B086,A4,PCLI,PCLI04,2,NA,NA,Y,Pseudodiploria clivosa
0,B086,A6,PAST,PAST02,3,N,0,N,Porites astreoides
1,B086,A6,PAST,PAST02,3,N,0,N,Porites astreoides
2,B086,A6,PAST,PAST02,3,N,0,N,Porites astreoides
7,B086,A6,PAST,PAST02,3,N,0,N,Porites astreoides
14,B086,A6,PAST,PAST02,3,Y,30,Y,Porites astreoides
21,B086,A6,PAST,PAST02,3,NA,NA,Y,Porites astreoides
28,B086,A6,PAST,PAST02,3,NA,NA,Y,Porites astreoides
35,B086,A6,PAST,PAST02,3,NA,NA,Y,Porites astreoides
42,B086,A6,PAST,PAST02,3,NA,NA,Y,Porites astreoides
0,B086,A8,PSTR,PSTR05,4,N,1,N,Pseudodiploria strigosa
1,B086,A8,PSTR,PSTR05,4,Y,5,Y,Pseudodiploria strigosa
2,B086,A8,PSTR,PSTR05,4,N,0,Y,Pseudodiploria strigosa
7,B086,A8,PSTR,PSTR05,4,N,0,Y,Pseudodiploria strigosa
14,B086,A8,PSTR,PSTR05,4,Y,100,Y,Pseudodiploria strigosa
21,B086,A8,PSTR,PSTR05,4,NA,100,Y,Pseudodiploria strigosa
28,B086,A8,PSTR,PSTR05,4,NA,100,Y,Pseudodiploria strigosa
35,B086,A8,PSTR,PSTR05,4,NA,100,Y,Pseudodiploria strigosa
42,B086,A8,PSTR,PSTR05,4,NA,100,Y,Pseudodiploria strigosa
0,B086,A10,PCLI,PCLI02,5,N,1,N,Pseudodiploria clivosa
1,B086,A10,PCLI,PCLI02,5,N,0,N,Pseudodiploria clivosa
2,B086,A10,PCLI,PCLI02,5,N,0,N,Pseudodiploria clivosa
7,B086,A10,PCLI,PCLI02,5,Y,15,Y,Pseudodiploria clivosa
14,B086,A10,PCLI,PCLI02,5,Y,40,Y,Pseudodiploria clivosa
21,B086,A10,PCLI,PCLI02,5,NA,NA,Y,Pseudodiploria clivosa
28,B086,A10,PCLI,PCLI02,5,NA,NA,Y,Pseudodiploria clivosa
35,B086,A10,PCLI,PCLI02,5,NA,NA,Y,Pseudodiploria clivosa
42,B086,A10,PCLI,PCLI02,5,NA,NA,Y,Pseudodiploria clivosa
0,B086,B1,DLAB,DLAB01,6,N,0,N,Diploria labyrinthiformis
1,B086,B1,DLAB,DLAB01,6,N,0,N,Diploria labyrinthiformis
2,B086,B1,DLAB,DLAB01,6,N,0,N,Diploria labyrinthiformis
7,B086,B1,DLAB,DLAB01,6,N,0,N,Diploria labyrinthiformis
14,B086,B1,DLAB,DLAB01,6,Y,5,Y,Diploria labyrinthiformis
21,B086,B1,DLAB,DLAB01,6,N,5,Y,Diploria labyrinthiformis
28,B086,B1,DLAB,DLAB01,6,N,5,Y,Diploria labyrinthiformis
35,B086,B1,DLAB,DLAB01,6,N,5,Y,Diploria labyrinthiformis
42,B086,B1,DLAB,DLAB01,6,NA,NA,Y,Diploria labyrinthiformis
0,B086,B3,ACER,ACER02,7,N,0,N,Acropora cervicornis
1,B086,B3,ACER,ACER02,7,N,0,N,Acropora cervicornis
2,B086,B3,ACER,ACER02,7,N,0,N,Acropora cervicornis
7,B086,B3,ACER,ACER02,7,N,0,N,Acropora cervicornis
14,B086,B3,ACER,ACER02,7,N,0,N,Acropora cervicornis
21,B086,B3,ACER,ACER02,7,N,0,N,Acropora cervicornis
28,B086,B3,ACER,ACER02,7,N,0,N,Acropora cervicornis
35,B086,B3,ACER,ACER02,7,N,0,N,Acropora cervicornis
42,B086,B3,ACER,ACER02,7,NA,NA,N,Acropora cervicornis
0,B086,B7,APAL,APAL03,8,N,0,N,Acropora palmata
1,B086,B7,APAL,APAL03,8,N,0,N,Acropora palmata
2,B086,B7,APAL,APAL03,8,N,0,N,Acropora palmata
7,B086,B7,APAL,APAL03,8,NA,0,N,Acropora palmata
14,B086,B7,APAL,APAL03,8,N,0,N,Acropora palmata
21,B086,B7,APAL,APAL03,8,N,0,N,Acropora palmata
28,B086,B7,APAL,APAL03,8,N,0,N,Acropora palmata
35,B086,B7,APAL,APAL03,8,NA,0,N,Acropora palmata
42,B086,B7,APAL,APAL03,8,NA,NA,N,Acropora palmata
0,B086,B9,DLAB,DLAB02,9,N,0,N,Diploria labyrinthiformis
1,B086,B9,DLAB,DLAB02,9,N,0,N,Diploria labyrinthiformis
2,B086,B9,DLAB,DLAB02,9,N,0,N,Diploria labyrinthiformis
7,B086,B9,DLAB,DLAB02,9,N,0,N,Diploria labyrinthiformis
14,B086,B9,DLAB,DLAB02,9,N,5,Y,Diploria labyrinthiformis
21,B086,B9,DLAB,DLAB02,9,Y,10,Y,Diploria labyrinthiformis
28,B086,B9,DLAB,DLAB02,9,N,10,Y,Diploria labyrinthiformis
35,B086,B9,DLAB,DLAB02,9,N,10,Y,Diploria labyrinthiformis
42,B086,B9,DLAB,DLAB02,9,NA,NA,Y,Diploria labyrinthiformis
0,B086,C4,OFAV,OFAV01,10,N,0,N,Orbicella faveolata
1,B086,C4,OFAV,OFAV01,10,N,0,N,Orbicella faveolata
2,B086,C4,OFAV,OFAV01,10,N,0,N,Orbicella faveolata
7,B086,C4,OFAV,OFAV01,10,NA,0,N,Orbicella faveolata
14,B086,C4,OFAV,OFAV01,10,N,0,N,Orbicella faveolata
21,B086,C4,OFAV,OFAV01,10,N,0,N,Orbicella faveolata
28,B086,C4,OFAV,OFAV01,10,N,0,N,Orbicella faveolata
35,B086,C4,OFAV,OFAV01,10,NA,NA,N,Orbicella faveolata
42,B086,C4,OFAV,OFAV01,10,NA,NA,N,Orbicella faveolata
0,B086,C6,ACER,ACER03,11,N,0,N,Acropora cervicornis
1,B086,C6,ACER,ACER03,11,N,0,N,Acropora cervicornis
2,B086,C6,ACER,ACER03,11,N,0,N,Acropora cervicornis
7,B086,C6,ACER,ACER03,11,NA,0,N,Acropora cervicornis
14,B086,C6,ACER,ACER03,11,N,0,N,Acropora cervicornis
21,B086,C6,ACER,ACER03,11,N,0,N,Acropora cervicornis
28,B086,C6,ACER,ACER03,11,N,0,N,Acropora cervicornis
35,B086,C6,ACER,ACER03,11,NA,0,N,Acropora cervicornis
42,B086,C6,ACER,ACER03,11,NA,0,N,Acropora cervicornis
0,B086,C8,OFAV,OFAV05,12,N,0,N,Orbicella faveolata
1,B086,C8,OFAV,OFAV05,12,N,0,N,Orbicella faveolata
2,B086,C8,OFAV,OFAV05,12,Y,5,Y,Orbicella faveolata
7,B086,C8,OFAV,OFAV05,12,Y,5,Y,Orbicella faveolata
14,B086,C8,OFAV,OFAV05,12,Y,20,Y,Orbicella faveolata
21,B086,C8,OFAV,OFAV05,12,NA,NA,Y,Orbicella faveolata
28,B086,C8,OFAV,OFAV05,12,NA,NA,Y,Orbicella faveolata
35,B086,C8,OFAV,OFAV05,12,NA,NA,Y,Orbicella faveolata
42,B086,C8,OFAV,OFAV05,12,NA,NA,Y,Orbicella faveolata
0,B086,E2,APAL,APAL01,13,N,0,N,Acropora palmata
