contrast,odds.ratio,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p.value
Days1 / Days2,0.8113291855132092,0.16607328909051677,Inf,0.43627583307530965,1.5088047454416296,1,-1.0214396796921879,0.971365014214711
Days1 / Days7,0.10890932365212262,0.023913074753984832,Inf,0.055981971042012316,0.21187608363166402,1,-10.098160593028343,8.493206138382448e-14
Days1 / Days14,0.044650533068294716,0.011054253316971168,Inf,0.021083767829799743,0.09455947909201654,1,-12.5574788806902,0
Days1 / Days21,0.030534366528166046,0.008087251887279146,Inf,0.013682290315704554,0.0681426513955954,1,-13.172759786279247,0
Days1 / Days28,0.02801449076615246,0.007544642634198046,Inf,0.01238479491596715,0.0633689696286387,1,-13.274683021763439,0
Days1 / Days35,0.028014490766152533,0.007544642634198032,Inf,0.012384794915967228,0.06336896962863864,1,-13.27468302176349,0
Days1 / Days42,0.02441691684780315,0.006760374900670321,Inf,0.01054982246937649,0.0565114560063084,1,-13.408619221304091,0
Days2 / Days7,0.13423567843579004,0.029044587700607166,Inf,0.0696724899988763,0.25862743480830735,1,-9.281126147691277,8.382183835919932e-14
Days2 / Days14,0.05503380608704573,0.01345244390800529,Inf,0.026234642986721398,0.1154473424303708,1,-11.863082403083492,0
Days2 / Days21,0.037634990917837396,0.00985376110938476,Inf,0.017019778345423765,0.08322038704849165,1,-12.526793995415426,0
Days2 / Days28,0.03452912981114045,0.009195360459994258,Inf,0.01540447628565132,0.07739703599174828,1,-12.639351439904033,0
Days2 / Days35,0.03452912981114054,0.00919536045999421,Inf,0.015404476285651458,0.077397035991748,1,-12.63935143990412,0
Days2 / Days42,0.030094956872971527,0.008243501434997868,Inf,0.013120165001595354,0.06903163405916662,1,-12.790026486803919,0
Days7 / Days14,0.4099789767395593,0.09969945661851548,Inf,0.1961836396503575,0.8567623766588114,1,-3.6665947812239823,0.006006714097899657
Days7 / Days21,0.2803650367501932,0.07265606865848982,Inf,0.12782293984469112,0.6149487245986064,1,-4.9070889805541995,2.5384528824501373e-5
Days7 / Days28,0.25722766267134434,0.06774084942597428,Inf,0.11579024658523458,0.5714304304089833,1,-5.1558566639779695,6.982101522057249e-6
Days7 / Days35,0.257227662671345,0.06774084942597366,Inf,0.11579024658523593,0.5714304304089796,1,-5.155856663978018,6.982101522390316e-6
Days7 / Days42,0.2241949176527392,0.06065404349959997,Inf,0.0987446502843293,0.5090236378030423,1,-5.526838166094584,9.073810135484806e-7
Days14 / Days21,0.6838522281797298,0.1894372211054907,Inf,0.29534480375795685,1.5834166169032595,1,-1.3718160885319381,0.8702276747388495
Days14 / Days28,0.6274167146740043,0.17616049654560542,Inf,0.26790374763623676,1.4693774810004765,1,-1.6602289253843225,0.7130918908666349
Days14 / Days35,0.627416714674006,0.17616049654560276,Inf,0.26790374763624153,1.4693774810004583,1,-1.6602289253843425,0.713091890866622
Days14 / Days42,0.5468449124774509,0.15708181872357693,Inf,0.22895877366452042,1.3060838574399225,1,-2.1012625495979504,0.4139571028947808
Days21 / Days28,0.9174741103703868,0.2692982668533337,Inf,0.3769063378397908,2.2333366640221737,1,-0.2934400113384103,0.9999909433988652
Days21 / Days35,0.9174741103703893,0.2692982668533319,Inf,0.3769063378397949,2.2333366640221612,1,-0.29344001133840397,0.9999909433988652
Days21 / Days42,0.7996536239021061,0.2395777039863003,Inf,0.32250603699938807,1.9827409253147852,1,-0.7462457799112866,0.9955478750214946
Days28 / Days35,1.0000000000000027,0.2969724820148125,Inf,0.4065340793209227,2.4598183789915278,1,8.972330503563222e-15,1
Days28 / Days42,0.8715816771977183,0.26405072094278215,Inf,0.3479599423329892,2.183166875283065,1,-0.4536823520171189,0.9998245938885716
Days35 / Days42,0.871581677197716,0.2640507209427761,Inf,0.34795994233299476,2.1831668752830184,1,-0.45368235201713686,0.9998245938885715
